word	pos	msd
3	RG	RG.NOM
:	MID	MID
Dö	VB	VB.INF.AKT
som	KN	KN
hundar	NN	NN.UTR.PLU.IND.NOM
sin	PS	PS.UTR.SIN.DEF
kos	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# sentence 57d72534
1600-talet	NN	NN.NEU.SIN.DEF.NOM
.	MAD	MAD

# sentence 57dde411
Sändes	VB	VB.PRT.SFO
4	RG	RG.NOM
november	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
.	MAD	MAD

# sentence 57d43153
•	NN	NN.AN
Avsnitt	NN	NN.NEU.SIN.IND.NOM
4	RG	RG.NOM
:	MID	MID
Låter	VB	VB.PRS.AKT
dem	PN	PN.UTR+NEU.PLU.DEF.OBJ
se	VB	VB.INF.AKT
med	PP	PP
klara	JJ	JJ.POS.UTR+NEU.PLU.IND+DEF.NOM
ögon	NN	NN.NEU.PLU.IND.NOM
.	MAD	MAD

# sentence 57da2484
1700-talet	NN	NN.NEU.SIN.DEF.NOM
.	MAD	MAD

# sentence 57d55dc6
Sändes	VB	VB.PRT.SFO
11	RG	RG.NOM
november	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
.	MAD	MAD

# sentence 57d51f17
•	NN	NN.AN
Avsnitt	NN	NN.NEU.SIN.IND.NOM
5	RG	RG.NOM
:	MID	MID
Med	PP	PP
en	DT	DT.UTR.SIN.IND
kraft	NN	NN.UTR.SIN.IND.NOM
av	PP	PP
inre	JJ	JJ.KOM.UTR+NEU.SIN+PLU.IND+DEF.NOM
eld	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# sentence 57dc8dc1
1800-talet	NN	NN.NEU.SIN.DEF.NOM
.	MAD	MAD

# sentence 57d8ba3f
Sändes	VB	VB.PRT.SFO
18	RG	RG.NOM
november	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
.	MAD	MAD

# sentence 57dfbce7
•	MID	MID
Avsnitt	NN	NN.NEU.SIN.IND.NOM
6	RG	RG.NOM
:	MID	MID
Helig	JJ	JJ.POS.UTR.SIN.IND.NOM
är	VB	VB.PRS.AKT
bruttonationalproduktion	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# sentence 57d65e9f
1900-talet	NN	NN.NEU.SIN.DEF.NOM
.	MAD	MAD

# sentence 57d33496
Sändes	VB	VB.PRT.SFO
25	RG	RG.NOM
november	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
.	MAD	MAD

# paragraph 
# sentence 57ddfd5d
En	DT	DT.UTR.SIN.IND
nedkortad	PC	PC.PRF.UTR.SIN.IND.NOM
version	NN	NN.UTR.SIN.IND.NOM
av	PP	PP
serien	NN	NN.UTR.SIN.DEF.NOM
bestående	PC	PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM
av	PP	PP
två	RG	RG.NOM
heltimmesavsnitt	NN	NN.NEU.PLU.IND.NOM
visades	VB	VB.PRT.SFO
av	PP	PP
Kanal	NN	NN.UTR.SIN.IND.NOM
1	RG	RG.NOM
i	PP	PP
juni	NN	NN.UTR.SIN.IND.NOM
1993	RG	RG.NOM
.	MAD	MAD

# sentence 57d55ac9
Denna	DT	DT.UTR.SIN.DEF
version	NN	NN.UTR.SIN.IND.NOM
publicerades	VB	VB.PRT.SFO
senare	AB	AB.KOM
av	PP	PP
Öppet	JJ	JJ.POS.NEU.SIN.IND.NOM
arkiv	NN	NN.NEU.SIN.IND.NOM
.	MAD	MAD

# text 
# paragraph 
# sentence 57d0bab4
100	RG	RG.NOM
meter	NN	NN.UTR.PLU.IND.NOM
bröstsim	NN	NN.NEU.SIN.IND.NOM
för	PP	PP
damer	NN	NN.UTR.PLU.IND.NOM
i	PP	PP
simning	NN	NN.UTR.SIN.IND.NOM
vid	PP	PP
olympiska	JJ	JJ.POS.UTR+NEU.PLU.IND+DEF.NOM
sommarspelen	NN	NN.NEU.PLU.DEF.NOM
2004	RG	RG.NOM

# paragraph 
# sentence 57d3916a
Sammanställda	PC	PC.PRF.UTR+NEU.PLU.IND+DEF.NOM
resultaten	NN	NN.NEU.PLU.DEF.NOM
för	PP	PP
100	RG	RG.NOM
meter	NN	NN.UTR.PLU.IND.NOM
bröstsim	NN	NN.NEU.PLU.IND.NOM
,	MID	MID
damer	NN	NN.UTR.PLU.IND.NOM
vid	PP	PP
de	DT	DT.UTR+NEU.PLU.DEF
Olympiska	JJ	JJ.POS.UTR+NEU.PLU.IND+DEF.NOM
sommarspelen	NN	NN.NEU.PLU.DEF.NOM
2004	RG	RG.NOM
.	MAD	MAD

# paragraph 
# sentence 57d3a8c9
Rekord	NN	NN.NEU.SIN.IND.NOM

# paragraph 
# sentence 57dff06c
Medaljörer	NN	NN.UTR.PLU.IND.NOM

# paragraph 
# sentence 57d36007
Resultat	NN	NN.NEU.SIN.IND.NOM

# paragraph 
# sentence 57d41f03
Från	PP	PP
de	DT	DT.UTR+NEU.PLU.DEF
6	RG	RG.NOM
kvalheaten	NN	NN.NEU.PLU.DEF.NOM
gick	VB	VB.PRT.AKT
de	DT	DT.UTR+NEU.PLU.DEF
16	RG	RG.NOM
snabbaste	JJ	JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM
vidare	AB	AB.KOM
till	PP	PP
semifinal	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# sentence 57d3bf8a
Från	PP	PP
de	DT	DT.UTR+NEU.PLU.DEF
två	RG	RG.NOM
semifinalerna	NN	NN.UTR.PLU.DEF.NOM
gick	VB	VB.PRT.AKT
de	DT	DT.UTR+NEU.PLU.DEF
8	RG	RG.NOM
snabbaste	JJ	JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM
till	PP	PP
final	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# paragraph 
# sentence 57d6fdb1
Alla	DT	DT.UTR+NEU.PLU.IND+DEF
tider	NN	NN.UTR.PLU.IND.NOM
visas	VB	VB.PRS.SFO
i	PP	PP
minuter	NN	NN.UTR.PLU.IND.NOM
och	KN	KN
sekunder	NN	NN.UTR.PLU.IND.NOM
